,datetime,open,high,low,close,count_buy,count_sell,size,delta,position,side
184,2022-05-22 15:20:00,29800.0,29801.5,29661.5,29738.0,2631,3405,1655.1,-774,-1.0,1
185,2022-05-22 15:25:00,29738.5,29765.0,29704.5,29724.5,1445,1015,572.829,430,0.0,0
186,2022-05-22 15:30:00,29725.0,29778.0,29722.0,29731.5,931,799,416.748,132,0.0,0
187,2022-05-22 15:35:00,29731.5,29810.0,29700.0,29775.0,1214,948,405.847,266,0.0,0
188,2022-05-22 15:40:00,29775.5,29792.0,29753.0,29792.0,521,413,197.097,108,0.0,0
189,2022-05-22 15:45:00,29792.0,29939.5,29791.5,29882.5,2502,1112,980.135,1390,0.0,0
190,2022-05-22 15:50:00,29882.5,29883.0,29853.0,29870.0,477,755,227.809,-278,0.0,0
191,2022-05-22 15:55:00,29869.5,29870.0,29789.0,29833.0,439,980,218.64,-541,0.0,0
192,2022-05-22 16:00:00,29832.5,29892.5,29814.0,29878.5,931,497,320.36,434,0.0,0
193,2022-05-22 16:05:00,29878.5,29879.0,29847.5,29861.0,275,475,169.827,-200,0.0,0
194,2022-05-22 16:10:00,29861.5,29861.5,29721.0,29745.5,819,1671,836.381,-852,0.0,0
195,2022-05-22 16:15:00,29746.0,29845.0,29745.5,29821.0,909,663,446.537,246,0.0,0
196,2022-05-22 16:20:00,29821.5,29841.5,29800.0,29841.5,391,490,200.999,-99,0.0,0
197,2022-05-22 16:25:00,29841.5,29880.5,29833.5,29852.5,705,533,368.638,172,0.0,0
198,2022-05-22 16:30:00,29849.0,29930.0,29849.0,29927.0,914,598,336.508,316,0.0,0
199,2022-05-22 16:35:00,29927.0,29927.0,29872.0,29872.5,383,550,197.745,-167,0.0,0
200,2022-05-22 16:40:00,29872.0,29909.5,29862.5,29895.0,496,483,109.139,13,0.0,0
201,2022-05-22 16:45:00,29894.5,29907.5,29875.0,29907.0,271,326,128.72,-55,0.0,0
202,2022-05-22 16:50:00,29907.0,29958.5,29900.0,29934.5,837,330,193.307,507,0.0,0
203,2022-05-22 16:55:00,29934.0,29950.0,29907.0,29911.5,829,671,232.254,158,0.0,0
204,2022-05-22 17:00:00,29911.5,29921.5,29873.0,29921.5,672,732,218.027,-60,0.0,0
205,2022-05-22 17:05:00,29921.5,30094.5,29921.0,30035.0,3684,1482,1155.671,2202,0.0,0
206,2022-05-22 17:10:00,30035.0,30041.5,29962.5,29983.5,598,925,341.75600000000003,-327,0.0,0
207,2022-05-22 17:15:00,29984.0,30099.5,29955.0,30099.5,1251,733,515.005,518,0.0,0
208,2022-05-22 17:20:00,30099.0,30169.0,30060.0,30150.5,2312,1144,808.968,1168,0.0,0
209,2022-05-22 17:25:00,30151.0,30151.0,30077.5,30095.5,441,958,347.889,-517,0.0,0
210,2022-05-22 17:30:00,30095.5,30096.0,30043.0,30043.5,264,687,184.043,-423,0.0,0
211,2022-05-22 17:35:00,30043.0,30066.0,29987.5,30002.5,533,790,288.024,-257,0.0,0
212,2022-05-22 17:40:00,30002.5,30002.5,29963.5,29991.0,462,511,219.072,-49,0.0,0
213,2022-05-22 17:45:00,29990.5,29995.0,29862.0,29897.5,1009,1813,838.501,-804,0.0,0
214,2022-05-22 17:50:00,29898.0,29924.0,29898.0,29923.5,428,235,129.956,193,0.0,0
215,2022-05-22 17:55:00,29924.0,29959.0,29915.5,29917.0,374,341,130.096,33,0.0,0
216,2022-05-22 18:00:00,29917.5,29931.0,29854.0,29931.0,529,692,266.101,-163,0.0,0
217,2022-05-22 18:05:00,29930.5,29947.5,29910.0,29947.5,428,180,192.519,248,0.0,0
218,2022-05-22 18:10:00,29947.5,29947.5,29900.0,29904.0,232,262,152.53,-30,0.0,0
219,2022-05-22 18:15:00,29904.5,29916.0,29822.0,29853.5,403,899,371.182,-496,0.0,0
220,2022-05-22 18:20:00,29853.5,29912.0,29853.5,29912.0,458,180,119.058,278,0.0,0
221,2022-05-22 18:25:00,29911.5,29966.0,29885.0,29953.0,462,242,171.251,220,0.0,0
222,2022-05-22 18:30:00,29953.0,30018.0,29929.5,30011.0,1029,399,306.362,630,0.0,0
223,2022-05-22 18:35:00,30011.0,30019.5,29979.0,29999.5,329,712,184.775,-383,0.0,0
224,2022-05-22 18:40:00,29999.5,29999.5,29971.0,29995.0,164,222,57.157,-58,0.0,0
225,2022-05-22 18:45:00,29994.5,30020.5,29961.5,29990.5,327,404,188.653,-77,0.0,0
226,2022-05-22 18:50:00,29990.5,30044.0,29990.5,30016.5,414,285,163.357,129,0.0,0
227,2022-05-22 18:55:00,30017.0,30038.5,30011.0,30020.0,255,259,139.074,-4,0.0,0
228,2022-05-22 19:00:00,30020.0,30076.5,30019.5,30076.5,577,250,123.324,327,0.0,0
229,2022-05-22 19:05:00,30076.5,30080.0,29973.0,29992.0,201,739,220.199,-538,0.0,0
230,2022-05-22 19:10:00,29992.0,30001.5,29981.0,29999.0,240,278,83.65,-38,0.0,0
231,2022-05-22 19:15:00,29999.0,30002.5,29988.5,29989.0,134,135,52.47,-1,0.0,0
232,2022-05-22 19:20:00,29989.0,30016.0,29988.5,30012.0,237,201,60.939,36,0.0,0
233,2022-05-22 19:25:00,30012.5,30012.5,29936.0,29958.0,237,532,263.706,-295,0.0,0
234,2022-05-22 19:30:00,29958.0,29976.5,29952.5,29960.0,172,217,72.281,-45,0.0,0
235,2022-05-22 19:35:00,29960.5,30001.5,29950.0,29995.5,325,146,147.197,179,0.0,0
236,2022-05-22 19:40:00,29996.0,29998.5,29959.5,29998.0,194,202,108.704,-8,0.0,0
237,2022-05-22 19:45:00,29998.5,30016.5,29974.5,30000.0,372,330,50.629,42,0.0,0
238,2022-05-22 19:50:00,29999.5,30000.0,29888.0,29902.5,424,859,206.571,-435,0.0,0
239,2022-05-22 19:55:00,29902.0,29924.5,29899.0,29924.0,354,195,124.357,159,0.0,0
240,2022-05-22 20:00:00,29924.5,29959.0,29910.5,29914.5,457,379,166.253,78,0.0,0
241,2022-05-22 20:05:00,29914.0,29918.5,29892.0,29913.0,362,482,98.141,-120,0.0,0
242,2022-05-22 20:10:00,29912.5,29959.0,29908.5,29946.5,334,234,171.711,100,0.0,0
243,2022-05-22 20:15:00,29950.0,29984.0,29950.0,29983.5,318,119,49.277,199,0.0,0
244,2022-05-22 20:20:00,29983.5,30025.0,29962.5,30014.5,467,192,193.579,275,0.0,0
245,2022-05-22 20:25:00,30014.5,30045.0,30010.0,30043.0,334,228,144.08,106,0.0,0
246,2022-05-22 20:30:00,30043.0,30101.5,30012.5,30039.0,847,634,281.47,213,0.0,0
247,2022-05-22 20:35:00,30039.0,30041.5,30000.5,30007.0,180,284,107.447,-104,0.0,0
248,2022-05-22 20:40:00,30007.0,30014.5,30004.5,30010.0,91,165,55.938,-74,0.0,0
249,2022-05-22 20:45:00,30010.0,30017.5,29975.0,29975.0,178,247,89.392,-69,0.0,0
250,2022-05-22 20:50:00,29975.5,29981.0,29970.0,29970.0,118,129,65.73,-11,0.0,0
251,2022-05-22 20:55:00,29970.0,29970.5,29912.5,29926.0,320,595,246.41,-275,0.0,0
252,2022-05-22 21:00:00,29925.5,29926.0,29900.0,29922.5,344,370,162.263,-26,0.0,0
253,2022-05-22 21:05:00,29922.0,29951.5,29903.0,29951.5,390,143,140.125,247,0.0,0
254,2022-05-22 21:10:00,29951.5,29961.0,29946.0,29960.5,302,180,129.07,122,0.0,0
255,2022-05-22 21:15:00,29960.5,29984.5,29947.5,29982.5,291,161,60.979,130,0.0,0
256,2022-05-22 21:20:00,29982.5,30030.0,29976.5,30016.5,477,267,136.418,210,0.0,0
257,2022-05-22 21:25:00,30016.0,30016.0,29975.0,29982.5,110,327,64.45400000000001,-217,0.0,0
258,2022-05-22 21:30:00,29982.0,30049.5,29982.0,30020.0,322,229,115.267,93,0.0,0
259,2022-05-22 21:35:00,30020.0,30070.0,29990.0,29990.5,286,383,150.488,-97,0.0,0
260,2022-05-22 21:40:00,29990.0,30068.5,29952.0,30068.0,444,424,220.494,20,0.0,0
261,2022-05-22 21:45:00,30068.5,30068.5,29996.5,30037.0,170,368,132.215,-198,0.0,0
262,2022-05-22 21:50:00,30037.0,30037.5,30003.0,30034.5,137,164,57.902,-27,0.0,0
263,2022-05-22 21:55:00,30037.5,30037.5,30005.0,30007.0,100,219,81.001,-119,0.0,0
264,2022-05-22 22:00:00,30007.5,30223.0,30007.5,30179.0,3639,1558,1266.54,2081,0.0,0
265,2022-05-22 22:05:00,30179.0,30198.5,30081.5,30124.5,612,1086,444.115,-474,0.0,0
266,2022-05-22 22:10:00,30125.0,30191.5,30110.0,30174.5,702,540,381.327,162,0.0,0
267,2022-05-22 22:15:00,30181.5,30213.5,30124.0,30205.0,743,829,435.204,-86,0.0,0
