,datetime,open,high,low,close,count_buy,count_sell,size,delta,position,side
567,2022-05-23 23:15:00,29050.0,29084.0,28839.0,28942.0,3294,7692,3190.184,-4398,-1.0,1
568,2022-05-23 23:20:00,28942.5,29125.5,28942.5,29119.5,2495,1320,969.261,1175,0.0,0
569,2022-05-23 23:25:00,29125.5,29125.5,29058.0,29073.5,840,997,353.232,-157,0.0,0
570,2022-05-23 23:30:00,29078.0,29171.0,29065.0,29134.0,1141,699,484.38,442,0.0,0
571,2022-05-23 23:35:00,29133.5,29152.0,29091.5,29123.0,714,654,289.606,60,0.0,0
572,2022-05-23 23:40:00,29122.5,29142.5,29106.5,29140.5,511,375,162.597,136,0.0,0
573,2022-05-23 23:45:00,29140.0,29180.0,29112.0,29125.0,633,720,239.69,-87,0.0,0
574,2022-05-23 23:50:00,29130.0,29152.0,29093.5,29094.5,400,474,172.31,-74,0.0,0
575,2022-05-23 23:55:00,29094.5,29107.5,29074.0,29091.5,447,537,160.674,-90,0.0,0
576,2022-05-24 00:00:00,29091.5,29156.0,29044.5,29135.0,1287,1204,496.479,83,0.0,0
