,datetime,open,high,low,close,count_buy,count_sell,size,delta,position,side
750,2022-05-24 14:30:00,28921.5,29114.5,28900.5,28980.5,6886,4746,2714.898,2140,1.0,1
751,2022-05-24 14:35:00,28980.5,29040.0,28914.0,28925.0,2114,2769,972.143,-655,0.0,0
752,2022-05-24 14:40:00,28925.0,28984.0,28866.5,28969.5,2060,1852,760.4590000000001,208,0.0,0
753,2022-05-24 14:45:00,28969.5,29034.0,28884.5,28903.0,2057,2047,794.876,10,0.0,0
754,2022-05-24 14:50:00,28902.5,28973.5,28890.0,28914.0,1138,893,467.933,245,0.0,0
755,2022-05-24 14:55:00,28914.5,29065.0,28910.0,29065.0,1592,868,470.953,724,0.0,0
756,2022-05-24 15:00:00,29065.0,29100.0,29016.0,29044.0,1795,1860,788.606,-65,0.0,0
757,2022-05-24 15:05:00,29044.0,29090.0,29005.0,29046.0,1218,1148,592.26,70,0.0,0
758,2022-05-24 15:10:00,29046.5,29062.0,29015.0,29015.0,703,863,297.053,-160,0.0,0
759,2022-05-24 15:15:00,29015.0,29108.0,28985.0,29003.5,1264,1253,555.628,11,0.0,0
760,2022-05-24 15:20:00,29003.5,29035.0,28968.0,29017.0,976,941,432.16,35,0.0,0
761,2022-05-24 15:25:00,29017.5,29135.0,29017.5,29104.0,1617,708,511.715,909,0.0,0
762,2022-05-24 15:30:00,29104.0,29158.0,29041.5,29081.5,1589,1293,647.937,296,0.0,0
763,2022-05-24 15:35:00,29081.5,29100.0,29050.5,29068.5,534,635,258.718,-101,0.0,0
764,2022-05-24 15:40:00,29068.5,29273.0,29068.5,29255.5,4336,1775,1661.56,2561,0.0,0
