,datetime,open,high,low,close,count_buy,count_sell,size,delta,position,side
514,2022-05-23 18:50:00,30096.0,30125.0,29860.0,29892.0,2162,5921,2264.304,-3759,-1.0,1
515,2022-05-23 18:55:00,29892.5,29908.5,29778.0,29850.0,2272,3340,1379.477,-1068,0.0,0
516,2022-05-23 19:00:00,29855.5,29861.0,29553.5,29657.5,5451,7548,3825.121,-2097,0.0,0
517,2022-05-23 19:05:00,29657.5,29745.5,29657.0,29700.0,2279,1192,1057.402,1087,0.0,0
518,2022-05-23 19:10:00,29700.5,29711.0,29600.0,29616.5,2174,1772,1265.721,402,0.0,0
