,datetime,open,high,low,close,count_buy,count_sell,size,delta,position,side
536,2022-05-23 20:40:00,29269.5,29383.0,29261.5,29336.5,1901,1024,561.33,877,1.0,1
537,2022-05-23 20:45:00,29337.0,29450.0,29310.0,29387.0,2150,1417,848.434,733,0.0,0
538,2022-05-23 20:50:00,29387.0,29406.0,29276.0,29277.0,1214,2023,770.884,-809,0.0,0
539,2022-05-23 20:55:00,29277.0,29319.0,29256.0,29318.0,902,785,417.586,117,0.0,0
540,2022-05-23 21:00:00,29317.5,29337.5,29282.0,29283.0,516,498,227.916,18,0.0,0
541,2022-05-23 21:05:00,29282.5,29327.0,29272.0,29327.0,664,400,225.083,264,0.0,0
542,2022-05-23 21:10:00,29327.0,29396.5,29318.0,29335.0,911,968,529.781,-57,0.0,0
543,2022-05-23 21:15:00,29338.5,29389.0,29336.0,29358.0,574,359,159.09,215,0.0,0
544,2022-05-23 21:20:00,29358.0,29391.5,29329.5,29377.0,571,434,192.274,137,0.0,0
545,2022-05-23 21:25:00,29377.0,29408.0,29363.5,29398.0,587,388,171.021,199,0.0,0
546,2022-05-23 21:30:00,29398.5,29473.5,29395.0,29454.5,1249,497,362.019,752,0.0,0
547,2022-05-23 21:35:00,29454.5,29469.5,29380.0,29405.0,654,811,394.994,-157,0.0,0
548,2022-05-23 21:40:00,29405.5,29421.0,29357.0,29420.5,568,722,267.296,-154,0.0,0
549,2022-05-23 21:45:00,29421.0,29440.5,29347.5,29348.0,347,709,215.504,-362,0.0,0
550,2022-05-23 21:50:00,29348.0,29374.0,29348.0,29373.0,291,293,109.799,-2,0.0,0
551,2022-05-23 21:55:00,29373.5,29373.5,29292.0,29328.5,425,965,417.331,-540,0.0,0
552,2022-05-23 22:00:00,29328.5,29328.5,29178.0,29186.0,1465,2887,1195.254,-1422,0.0,0
553,2022-05-23 22:05:00,29186.0,29239.0,29122.0,29184.5,1438,1542,638.952,-104,0.0,0
554,2022-05-23 22:10:00,29185.0,29305.5,29184.5,29253.5,1157,544,404.687,613,0.0,0
555,2022-05-23 22:15:00,29253.5,29280.5,29206.0,29280.5,557,639,228.546,-82,0.0,0
556,2022-05-23 22:20:00,29280.0,29289.5,29102.0,29163.5,910,1789,657.272,-879,0.0,0
557,2022-05-23 22:25:00,29163.5,29175.0,29060.5,29115.0,1475,2068,905.314,-593,0.0,0
558,2022-05-23 22:30:00,29115.5,29150.0,29013.0,29084.0,1338,2021,991.573,-683,0.0,0
559,2022-05-23 22:35:00,29084.0,29180.0,29048.5,29145.5,1467,964,647.448,503,0.0,0
560,2022-05-23 22:40:00,29146.0,29181.5,29124.5,29133.5,723,756,289.117,-33,0.0,0
561,2022-05-23 22:45:00,29133.5,29190.5,29115.0,29122.5,731,620,265.311,111,0.0,0
562,2022-05-23 22:50:00,29122.5,29177.5,29105.0,29177.0,581,407,195.563,174,0.0,0
563,2022-05-23 22:55:00,29177.5,29223.0,29168.5,29201.5,987,438,450.473,549,0.0,0
564,2022-05-23 23:00:00,29201.0,29201.5,29109.0,29122.0,479,976,344.68,-497,0.0,0
565,2022-05-23 23:05:00,29122.0,29130.5,29072.5,29117.0,675,692,330.085,-17,0.0,0
566,2022-05-23 23:10:00,29117.0,29117.0,29050.0,29050.5,700,1150,578.508,-450,0.0,0
