,datetime,open,high,low,close,count_buy,count_sell,size,delta,position,side
519,2022-05-23 19:15:00,29616.0,29616.0,29261.0,29408.5,6443,9971,4519.859,-3528,-1.0,1
520,2022-05-23 19:20:00,29409.0,29436.5,29235.0,29268.5,2604,2949,1381.302,-345,0.0,0
521,2022-05-23 19:25:00,29269.0,29291.5,29134.0,29221.5,3944,4148,1768.771,-204,0.0,0
522,2022-05-23 19:30:00,29221.5,29365.5,29157.5,29305.5,3971,2460,2142.736,1511,0.0,0
523,2022-05-23 19:35:00,29305.5,29312.5,29187.0,29228.5,1603,1818,751.075,-215,0.0,0
524,2022-05-23 19:40:00,29229.0,29268.5,29157.0,29222.5,1878,1664,872.484,214,0.0,0
525,2022-05-23 19:45:00,29222.5,29275.5,29183.0,29211.0,1364,1039,486.392,325,0.0,0
526,2022-05-23 19:50:00,29211.5,29285.0,29172.0,29204.5,1644,1951,988.781,-307,0.0,0
