,datetime,open,high,low,close,count_buy,count_sell,size,delta,position,side
55200,2022-05-22 15:20:00,29800.0,29800.0,29800.0,29800.0,7,0,0.942,7,-1.0,1
55201,2022-05-22 15:20:01,29800.0,29801.5,29800.0,29801.0,10,5,1.024,5,0.0,0
55202,2022-05-22 15:20:02,29801.0,29801.5,29801.0,29801.5,12,2,4.956,10,0.0,0
55203,2022-05-22 15:20:03,29801.0,29801.5,29801.0,29801.5,5,6,0.627,-1,0.0,0
55204,2022-05-22 15:20:04,29801.0,29801.0,29789.5,29790.0,4,38,7.041,-34,0.0,0
55205,2022-05-22 15:20:05,29790.0,29790.0,29789.5,29789.5,2,3,0.2029999999999999,-1,0.0,0
55206,2022-05-22 15:20:06,29789.5,29789.5,29789.5,29789.5,0,3,0.12,-3,0.0,0
55207,2022-05-22 15:20:07,29790.0,29790.0,29789.5,29789.5,4,4,0.826,0,0.0,0
55208,2022-05-22 15:20:08,29789.5,29790.0,29789.5,29790.0,2,10,1.314,-8,0.0,0
55209,2022-05-22 15:20:09,29789.5,29790.0,29789.5,29790.0,2,6,0.981,-4,0.0,0
55210,2022-05-22 15:20:10,29789.5,29790.0,29789.5,29790.0,3,10,1.727,-7,0.0,0
55211,2022-05-22 15:20:11,29789.5,29790.0,29789.5,29790.0,4,5,1.004,-1,0.0,0
55212,2022-05-22 15:20:12,29789.5,29789.5,29788.0,29788.0,5,13,2.015,-8,0.0,0
55213,2022-05-22 15:20:13,29788.0,29788.0,29781.5,29782.0,4,11,2.121,-7,0.0,0
55214,2022-05-22 15:20:14,29781.5,29782.0,29781.5,29781.5,1,3,0.351,-2,0.0,0
55215,2022-05-22 15:20:15,29781.5,29781.5,29781.5,29781.5,0,6,0.444,-6,0.0,0
55216,2022-05-22 15:20:16,29782.0,29782.0,29781.5,29782.0,2,1,0.061,1,0.0,0
55217,2022-05-22 15:20:17,29781.5,29782.0,29781.5,29782.0,1,2,0.274,-1,0.0,0
55218,2022-05-22 15:20:18,29781.5,29781.5,29781.5,29781.5,0,5,0.376,-5,0.0,0
55219,2022-05-22 15:20:19,29781.5,29781.5,29773.5,29773.5,0,24,3.347,-24,0.0,0
55220,2022-05-22 15:20:20,29773.0,29773.5,29773.0,29773.0,4,6,1.437,-2,0.0,0
55221,2022-05-22 15:20:21,29773.5,29773.5,29773.0,29773.0,2,9,1.782,-7,0.0,0
55222,2022-05-22 15:20:22,29773.0,29773.0,29773.0,29773.0,0,4,0.648,-4,0.0,0
55223,2022-05-22 15:20:23,29773.0,29773.5,29756.0,29756.0,4,65,16.375,-61,0.0,0
55224,2022-05-22 15:20:24,29755.5,29756.0,29755.5,29755.5,4,19,3.279,-15,0.0,0
55225,2022-05-22 15:20:25,29755.5,29756.0,29755.5,29756.0,6,5,3.766,1,0.0,0
55226,2022-05-22 15:20:26,29755.5,29756.0,29755.5,29755.5,1,8,1.108,-7,0.0,0
55227,2022-05-22 15:20:27,29755.5,29755.5,29729.5,29734.5,26,236,34.625,-210,0.0,0
55228,2022-05-22 15:20:28,29734.0,29734.5,29734.0,29734.0,5,26,10.49,-21,0.0,0
55229,2022-05-22 15:20:29,29734.5,29734.5,29691.0,29699.0,90,707,205.591,-617,0.0,0
55230,2022-05-22 15:20:30,29702.5,29702.5,29702.0,29702.5,14,27,29.624,-13,0.0,0
55231,2022-05-22 15:20:31,29702.5,29702.5,29702.0,29702.5,6,24,6.006,-18,0.0,0
55232,2022-05-22 15:20:32,29702.0,29702.5,29694.5,29695.0,9,14,10.63,-5,0.0,0
55233,2022-05-22 15:20:33,29694.5,29709.5,29694.5,29709.0,29,10,5.868,19,0.0,0
55234,2022-05-22 15:20:34,29709.5,29709.5,29709.0,29709.0,14,7,3.422,7,0.0,0
55235,2022-05-22 15:20:35,29709.5,29709.5,29709.0,29709.5,13,3,2.5330000000000004,10,0.0,0
55236,2022-05-22 15:20:36,29709.5,29709.5,29709.0,29709.0,9,18,1.785,-9,0.0,0
55237,2022-05-22 15:20:37,29709.0,29718.0,29702.0,29718.0,29,13,6.96,16,0.0,0
55238,2022-05-22 15:20:38,29724.0,29728.0,29724.0,29728.0,8,10,6.08,-2,0.0,0
55239,2022-05-22 15:20:39,29728.0,29728.0,29728.0,29728.0,10,0,1.041,10,0.0,0
55240,2022-05-22 15:20:40,29728.0,29731.0,29727.5,29731.0,14,5,2.745,9,0.0,0
55241,2022-05-22 15:20:41,29730.5,29734.5,29730.5,29733.5,15,24,22.949,-9,0.0,0
